"Ref_Date","GEO","Geographical_classification","VIOLATIONS","sum_Value_Actual_incidents","sum_Value_Cleared_by_charge","sum_Value_Cleared_otherwise","sum_Value_Percentage_change_in_rate","sum_Value_Rate_per_100_000_population","sum_Value_Rate_adult_charged_per_100_000_population_aged_18_years_and_over","sum_Value_Rate_total_persons_charged_per_100_000_population_aged_12_years_and_over","sum_Value_Rate_youth_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Rate_youth_not_charged_per_100_000_population_aged_12_to_17_years","sum_Value_Total_cleared","sum_Value_Total_adult_charged","sum_Value_Total_persons_charged","sum_Value_Total_youth_charged","sum_Value_Total_youth_not_charged"
"2013","Alberta","48","Total, all violations","318310","97417","57253","-2.91","7964.48","2628.96","2655.81","2955.79","3347.49","154670","82121","90384","8263","9358"
"2014","Alberta","48","Total, all violations","328090","101772","55361","0.27","7986.06","2657.99","2665.84","2756.5","2969.23","157133","85503","93187","7684","8277"
"2015","Alberta","48","Total, all violations","369546","106799","54083","10.71","8841.53","2749.48","2736.44","2583.95","2815.34","160882","89924","97149","7225","7872"
"2016","Alberta","48","Total, all violations","374304","111845","49611","-0.46","8801.19","2878.89","2823.85","2177.45","2448.49","161456","95682","101844","6162","6929"
"1998","Alberta","48","Total, all Criminal Code violations (including traffic)","280518","86799","40523","0","9674.86","2743.35","3017.79","5270.53","3111.51","127322","58679","72413","13734","8108"
"1999","Alberta","48","Total, all Criminal Code violations (including traffic)","280872","83433","44575","-1.7","9510.59","2692.54","2933.02","4926.72","3276.78","128008","58988","72007","13019","8659"
"2000","Alberta","48","Total, all Criminal Code violations (including traffic)","276383","83380","39561","-3.29","9197.62","2723.43","2977","5103.93","4274.98","122941","61042","74680","13638","11423"
"2001","Alberta","48","Total, all Criminal Code violations (including traffic)","292888","85905","39665","4.13","9577.71","2917.69","3145.67","5078.58","4958.49","125570","66947","80691","13744","13419"
"2002","Alberta","48","Total, all Criminal Code violations (including traffic)","303896","86617","41173","1.43","9714.21","2893.58","3125.72","5104.48","5031.5","127790","68273","82402","14129","13927"
"2003","Alberta","48","Total, all Criminal Code violations (including traffic)","331951","88099","46580","7.34","10427.57","2941.29","3104.61","4514.36","5541.09","134679","70967","83586","12619","15489"
"2004","Alberta","48","Total, all Criminal Code violations (including traffic)","339371","89086","46930","0.47","10476.12","2951.5","3050.23","3916.88","5206.02","136016","72816","83824","11008","14631"
"2005","Alberta","48","Total, all Criminal Code violations (including traffic)","342068","86498","48766","-1.72","10296.43","2764.52","2853.03","3645.77","4654.84","135264","70250","80594","10344","13207"
"2006","Alberta","48","Total, all Criminal Code violations (including traffic)","337097","89658","57745","-4.31","9852.72","2644.7","2724.7","3456.65","5067.59","147403","69473","79397","9924","14549"
"2007","Alberta","48","Total, all Criminal Code violations (including traffic)","341455","88908","61238","-1.38","9716.9","2678.81","2793.34","3875.44","5019.6","150146","72622","83742","11120","14403"
"2008","Alberta","48","Total, all Criminal Code violations (including traffic)","348351","95833","65833","-0.3","9687.84","2850.67","2944.62","3861.85","5048.87","161666","79386","90402","11016","14402"
"2009","Alberta","48","Total, all Criminal Code violations (including traffic)","338278","95012","67063","-5.09","9194.61","2770.09","2849.13","3645.23","4808.51","162075","79173","89517","10344","13645"
"2010","Alberta","48","Total, all Criminal Code violations (including traffic)","323997","93409","66219","-5.59","8680.26","2672.12","2725.95","3280.8","4632.17","159628","77569","86809","9240","13046"
"2011","Alberta","48","Total, all Criminal Code violations (including traffic)","303008","91502","60161","-7.9","7994.53","2550.97","2591.9","3021.2","3840.15","151663","75248","83744","8496","10799"
"2012","Alberta","48","Total, all Criminal Code violations (including traffic)","303805","91247","56970","-2.08","7828.5","2495.14","2526.29","2862.78","3578.93","148217","75507","83526","8019","10025"
"2013","Alberta","48","Total, all Criminal Code violations (including traffic)","303872","90118","54084","-2.88","7603.22","2392.48","2405.9","2555.87","2977.97","144202","74734","81879","7145","8325"
"2014","Alberta","48","Total, all Criminal Code violations (including traffic)","312503","93861","52070","0.05","7606.66","2412.56","2409.58","2375.17","2651.39","145931","77608","84229","6621","7391"
"2015","Alberta","48","Total, all Criminal Code violations (including traffic)","354209","99258","50911","11.41","8474.59","2509.12","2491.44","2284.6","2509.2","150169","82063","88451","6388","7016"
"2016","Alberta","48","Total, all Criminal Code violations (including traffic)","360085","104751","46736","-0.09","8466.85","2652.57","2598.62","1965.08","2198.3","151487","88160","93721","5561","6221"
"1998","Alberta","48","Total, all Criminal Code violations (excluding traffic)","264804","72170","40068","0","9132.9","2170.78","2507.4","5270.53","3111.51","112238","46432","60166","13734","8108"
"1999","Alberta","48","Total, all Criminal Code violations (excluding traffic)","265726","70114","44089","-1.48","8997.73","2129.41","2430.5","4926.72","3276.78","114203","46651","59670","13019","8659"
"2000","Alberta","48","Total, all Criminal Code violations (excluding traffic)","261516","70952","38817","-3.28","8702.87","2183.4","2494.45","5103.55","4274.98","109769","48938","62575","13637","11423"
"2001","Alberta","48","Total, all Criminal Code violations (excluding traffic)","276051","71991","38508","3.73","9027.12","2323.54","2614.2","5078.58","4957.75","110499","53314","67058","13744","13417"
"2002","Alberta","48","Total, all Criminal Code violations (excluding traffic)","288160","73345","40102","2.04","9211.2","2331.89","2622.96","5104.12","5030.78","113447","55020","69148","14128","13925"
"2003","Alberta","48","Total, all Criminal Code violations (excluding traffic)","316218","75465","45464","7.84","9933.35","2414.84","2632.83","4514.36","5541.09","120929","58265","70884","12619","15489"
"2004","Alberta","48","Total, all Criminal Code violations (excluding traffic)","323309","76420","45926","0.47","9980.3","2438.99","2590.13","3916.88","5206.02","122346","60172","71180","11008","14631"
"2005","Alberta","48","Total, all Criminal Code violations (excluding traffic)","325471","74509","47690","-1.84","9796.85","2288.82","2425.11","3645.77","4654.84","122199","58162","68506","10344","13207"
"2006","Alberta","48","Total, all Criminal Code violations (excluding traffic)","320303","77012","56609","-4.44","9361.86","2165.08","2292.33","3456.65","5067.59","133621","56874","66798","9924","14549"
"2007","Alberta","48","Total, all Criminal Code violations (excluding traffic)","321596","75117","60058","-2.24","9151.77","2183.56","2332.02","3734.64","5000.78","135175","59196","69912","10716","14349"
"2008","Alberta","48","Total, all Criminal Code violations (excluding traffic)","324879","81027","64170","-1.28","9035.07","2331.36","2463.17","3750.02","5020.12","145197","64924","75621","10697","14320"
"2009","Alberta","48","Total, all Criminal Code violations (excluding traffic)","315803","80878","65118","-5","8583.72","2282.81","2397.36","3551.14","4775.38","145996","65246","75323","10077","13551"
"2010","Alberta","48","Total, all Criminal Code violations (excluding traffic)","302033","79273","63691","-5.73","8091.82","2191.26","2278.16","3173.92","4594.18","142964","63610","72549","8939","12939"
"2011","Alberta","48","Total, all Criminal Code violations (excluding traffic)","281104","77527","57721","-8.34","7416.62","2084.8","2157.57","2920.92","3806.37","135248","61497","69711","8214","10704"
"2012","Alberta","48","Total, all Criminal Code violations (excluding traffic)","282687","77777","55172","-1.78","7284.33","2055.24","2115.13","2762.11","3550.37","132949","62195","69932","7737","9945"
"2013","Alberta","48","Total, all Criminal Code violations (excluding traffic)","283839","77624","52685","-2.5","7101.98","1998.33","2037.23","2471.8","2955.43","130309","62422","69332","6910","8262"
"2014","Alberta","48","Total, all Criminal Code violations (excluding traffic)","293064","81160","50949","0.44","7133.49","2021.09","2042.63","2291.23","2639.56","132109","65015","71402","6387","7358"
"2015","Alberta","48","Total, all Criminal Code violations (excluding traffic)","335755","86978","49843","12.61","8033.07","2136.83","2142.39","2207.35","2499.19","136821","69887","76059","6172","6988"
"2016","Alberta","48","Total, all Criminal Code violations (excluding traffic)","342771","93676","45831","0.33","8059.74","2320.21","2288.27","1913.14","2185.94","139507","77114","82528","5414","6186"
"1998","Alberta","48","Total violent Criminal Code violations","40477","18225","10856","0","1396.02","629.09","669","996.62","466.65","29081","13456","16053","2597","1216"
"1999","Alberta","48","Total violent Criminal Code violations","45225","18735","13840","9.69","1531.36","627.81","678.56","1099.33","599.8","32575","13754","16659","2905","1585"
"2000","Alberta","48","Total violent Criminal Code violations","45910","19425","12568","-0.23","1527.82","650.23","705.46","1168.76","918.39","31993","14574","17697","3123","2454"
"2001","Alberta","48","Total violent Criminal Code violations","48088","19954","12190","2.93","1572.52","674.04","728.96","1194.63","1125.53","32144","15466","18699","3233","3046"
"2002","Alberta","48","Total violent Criminal Code violations","47564","19206","12313","-3.31","1520.41","634.59","689.99","1162.23","1066.49","31519","14973","18190","3217","2952"
"2003","Alberta","48","Total violent Criminal Code violations","48665","19048","12492","0.55","1528.71","628.48","668.53","1014.2","1186.99","31540","15164","17999","2835","3318"
"2004","Alberta","48","Total violent Criminal Code violations","48864","19051","11583","-1.33","1508.39","629.29","659.83","927.98","1003.77","30634","15525","18133","2608","2821"
"2005","Alberta","48","Total violent Criminal Code violations","49723","20541","12055","-0.78","1496.69","650.22","679.15","938.23","961.14","32596","16523","19185","2662","2727"
"2006","Alberta","48","Total violent Criminal Code violations","50973","22990","15004","-0.46","1489.85","699.35","723.03","939.75","1160.92","37994","18371","21069","2698","3333"
"2007","Alberta","48","Total violent Criminal Code violations","52615","22802","15772","0.5","1497.28","663.23","690.78","951.09","1150.78","38574","17980","20709","2729","3302"
"2008","Alberta","48","Total violent Criminal Code violations","55428","24331","16676","2.95","1541.48","693.51","718.91","966.86","1132.68","41007","19313","22071","2758","3231"
"2009","Alberta","48","Total violent Criminal Code violations","56226","24746","17834","-0.86","1528.26","695.1","714.5","909.9","1115","42580","19867","22449","2582","3164"
"2010","Alberta","48","Total violent Criminal Code violations","55027","24574","17352","-3.53","1474.24","678.74","693.66","847.54","1100.7","41926","19703","22090","2387","3100"
"2011","Alberta","48","Total violent Criminal Code violations","53194","23781","15562","-4.8","1403.46","642.69","658.19","820.73","922.43","39343","18958","21266","2308","2594"
"2012","Alberta","48","Total violent Criminal Code violations","53854","24228","15046","-1.12","1387.72","643.62","652.52","748.63","852.16","39274","19477","21574","2097","2387"
"2013","Alberta","48","Total violent Criminal Code violations","51361","23329","13906","-7.39","1285.11","604.89","611.83","689.31","747.98","37235","18895","20822","1927","2091"
"2014","Alberta","48","Total violent Criminal Code violations","51704","23788","13045","-2.07","1258.53","602.92","605.79","638.9","666.88","36833","19395","21176","1781","1859"
"2015","Alberta","48","Total violent Criminal Code violations","54555","25175","13122","3.71","1305.25","626","628.73","660.56","635.88","38297","20474","22321","1847","1778"
"2016","Alberta","48","Total violent Criminal Code violations","52886","25310","11814","-4.73","1243.53","631.97","628.74","590.83","558.32","37124","21004","22676","1672","1580"
"1998","Alberta","48","Homicide","64","56","4","0","2.21","2.57","2.75","4.22","0","60","55","66","11","0"
"1999","Alberta","48","Homicide","61","49","6","-6.42","2.07","2.42","2.53","3.41","0","55","53","62","9","0"
"2000","Alberta","48","Homicide","59","50","5","-4.94","1.96","2.28","2.27","2.25","0.37","55","51","57","6","1"
"2001","Alberta","48","Homicide","70","58","2","16.58","2.29","2.31","2.34","2.59","0","60","53","60","7","0"
"2002","Alberta","48","Homicide","70","48","7","-2.25","2.24","2.08","2.05","1.81","0","55","49","54","5","0"
"2003","Alberta","48","Homicide","64","41","7","-10.15","2.01","1.99","1.93","1.43","0","48","48","52","4","0"
"2004","Alberta","48","Homicide","86","52","10","32.05","2.65","2.39","2.37","2.13","0","62","59","65","6","0"
"2005","Alberta","48","Homicide","108","77","5","22.45","3.25","3.86","3.89","4.23","0","82","98","110","12","0"
"2006","Alberta","48","Homicide","95","65","4","-14.59","2.78","2.59","3.16","8.36","0","69","68","92","24","0"
"2007","Alberta","48","Homicide","88","45","2","-9.81","2.5","1.77","1.77","1.74","0","47","48","53","5","0"
"2008","Alberta","48","Homicide","110","53","12","22.16","3.06","2.33","2.35","2.45","0.35","65","65","72","7","1"
"2009","Alberta","48","Homicide","95","67","10","-15.59","2.58","2.27","2.32","2.82","0.35","77","65","73","8","1"
"2010","Alberta","48","Homicide","77","51","7","-20.11","2.06","1.89","2.01","3.2","0","58","55","64","9","0"
"2011","Alberta","48","Homicide","109","69","9","39.41","2.88","2.78","2.75","2.49","0","78","82","89","7","0"
"2012","Alberta","48","Homicide","85","58","6","-23.84","2.19","2.25","2.18","1.43","0","64","68","72","4","0"
"2013","Alberta","48","Homicide","82","67","1","-6.33","2.05","2.3","2.32","2.5","0","68","72","79","7","0"
"2014","Alberta","48","Homicide","106","77","15","25.75","2.58","2.27","2.29","2.51","0","92","73","80","7","0"
"2015","Alberta","48","Homicide","133","89","8","23.33","3.18","3.03","3.04","3.22","0","97","99","108","9","0"
"2016","Alberta","48","Homicide","116","78","4","-14.28","2.73","2.62","2.55","1.77","0","82","87","92","5","0"
"1998","Alberta","48","Murder, first degree","19","16","2","0","0.66","0.89","0.92","1.15","0","18","19","22","3","0"
"1999","Alberta","48","Murder, first degree","23","16","3","18.85","0.78","0.68","0.73","1.14","0","19","15","18","3","0"
"2000","Alberta","48","Murder, first degree","24","17","4","2.55","0.8","0.85","0.8","0.37","0","21","19","20","1","0"
"2001","Alberta","48","Murder, first degree","23","15","0","-5.83","0.75","0.57","0.51","0","0","15","13","13","0","0"
"2002","Alberta","48","Murder, first degree","30","14","6","27.5","0.96","0.68","0.64","0.36","0","20","16","17","1","0"
"2003","Alberta","48","Murder, first degree","28","10","7","-8.28","0.88","0.66","0.59","0","0","17","16","16","0","0"
"2004","Alberta","48","Murder, first degree","37","15","6","29.86","1.14","0.61","0.65","1.07","0","21","15","18","3","0"
"2005","Alberta","48","Murder, first degree","39","17","5","2.78","1.17","1.1","1.13","1.41","0","22","28","32","4","0"
"2006","Alberta","48","Murder, first degree","30","12","1","-25.31","0.88","0.57","0.79","2.79","0","13","15","23","8","0"
"2007","Alberta","48","Murder, first degree","33","7","0","7.1","0.94","0.52","0.57","1.05","0","7","14","17","3","0"
"2008","Alberta","48","Murder, first degree","57","19","9","68.8","1.59","1.15","1.07","0.35","0","28","32","33","1","0"
"2009","Alberta","48","Murder, first degree","37","15","8","-36.56","1.01","0.56","0.57","0.7","0","23","16","18","2","0"
"2010","Alberta","48","Murder, first degree","27","12","2","-28.07","0.72","0.34","0.31","0","0","14","10","10","0","0"
"2011","Alberta","48","Murder, first degree","42","15","5","53.19","1.11","0.61","0.56","0","0","20","18","18","0","0"
"2012","Alberta","48","Murder, first degree","28","10","3","-34.89","0.72","0.36","0.33","0","0","13","11","11","0","0"
"2013","Alberta","48","Murder, first degree","31","23","1","7.5","0.78","0.96","0.94","0.72","0","24","30","32","2","0"
"2014","Alberta","48","Murder, first degree","46","25","13","44.35","1.12","0.59","0.6","0.72","0","38","19","21","2","0"
"2015","Alberta","48","Murder, first degree","63","31","6","34.62","1.51","1.16","1.18","1.43","0","37","38","42","4","0"
"2016","Alberta","48","Murder, first degree","38","18","4","-40.72","0.89","0.72","0.67","0","0","22","24","24","0","0"
"1998","Alberta","48","Murder, second degree","34","31","2","0","1.17","1.26","1.46","3.07","0","33","27","35","8","0"
"1999","Alberta","48","Murder, second degree","32","27","3","-7.6","1.08","1.32","1.43","2.27","0","30","29","35","6","0"
"2000","Alberta","48","Murder, second degree","26","25","0","-20.15","0.87","1.07","1.16","1.87","0","25","24","29","5","0"
"2001","Alberta","48","Murder, second degree","37","34","2","39.84","1.21","1.39","1.48","2.22","0","36","32","38","6","0"
"2002","Alberta","48","Murder, second degree","27","23","1","-28.67","0.86","0.93","0.99","1.45","0","24","22","26","4","0"
"2003","Alberta","48","Murder, second degree","31","28","0","12.83","0.97","1.2","1.23","1.43","0","28","29","33","4","0"
"2004","Alberta","48","Murder, second degree","40","30","3","26.8","1.23","1.38","1.35","1.07","0","33","34","37","3","0"
"2005","Alberta","48","Murder, second degree","59","53","0","43.83","1.78","2.48","2.48","2.47","0","53","63","70","7","0"
"2006","Alberta","48","Murder, second degree","54","42","3","-11.13","1.58","1.56","1.72","3.13","0","45","41","50","9","0"
"2007","Alberta","48","Murder, second degree","46","31","2","-17.06","1.31","1.14","1.1","0.7","0","33","31","33","2","0"
"2008","Alberta","48","Murder, second degree","46","30","2","-2.27","1.28","1.11","1.14","1.4","0.35","32","31","35","4","1"
"2009","Alberta","48","Murder, second degree","45","40","1","-4.39","1.22","1.36","1.43","2.11","0","41","39","45","6","0"
"2010","Alberta","48","Murder, second degree","42","32","5","-8","1.13","1.38","1.48","2.49","0","37","40","47","7","0"
"2011","Alberta","48","Murder, second degree","56","45","1","31.31","1.48","1.86","1.83","1.42","0","46","55","59","4","0"
"2012","Alberta","48","Murder, second degree","44","37","3","-23.26","1.13","1.52","1.48","1.07","0","40","46","49","3","0"
"2013","Alberta","48","Murder, second degree","48","42","0","5.93","1.2","1.28","1.32","1.79","0","42","40","45","5","0"
"2014","Alberta","48","Murder, second degree","49","42","2","-0.69","1.19","1.37","1.4","1.79","0","44","44","49","5","0"
"2015","Alberta","48","Murder, second degree","55","45","1","10.33","1.32","1.44","1.46","1.79","0","46","47","52","5","0"
"2016","Alberta","48","Murder, second degree","55","41","0","-1.72","1.29","1.32","1.33","1.41","0","41","44","48","4","0"
"1998","Alberta","48","Manslaughter","10","9","0","0","0.34","0.42","0.38","0","0","9","9","9","0","0"
"1999","Alberta","48","Manslaughter","6","6","0","-41.09","0.2","0.41","0.37","0","0","6","9","9","0","0"
"2000","Alberta","48","Manslaughter","9","8","1","47.42","0.3","0.36","0.32","0","0.37","9","8","8","0","1"
"2001","Alberta","48","Manslaughter","8","7","0","-12.65","0.26","0.31","0.27","0","0","7","7","7","0","0"
"2002","Alberta","48","Manslaughter","13","11","0","58.85","0.42","0.47","0.42","0","0","11","11","11","0","0"
"2003","Alberta","48","Manslaughter","4","3","0","-69.76","0.13","0.12","0.11","0","0","3","3","3","0","0"
"2004","Alberta","48","Manslaughter","8","6","1","96.54","0.25","0.36","0.33","0","0","7","9","9","0","0"
"2005","Alberta","48","Manslaughter","10","7","0","21.89","0.3","0.28","0.28","0.35","0","7","7","8","1","0"
"2006","Alberta","48","Manslaughter","11","11","0","6.81","0.32","0.46","0.65","2.44","0","11","12","19","7","0"
"2007","Alberta","48","Manslaughter","9","7","0","-20.34","0.26","0.11","0.1","0","0","7","3","3","0","0"
"2008","Alberta","48","Manslaughter","7","4","1","-23.99","0.19","0.07","0.13","0.7","0","5","2","4","2","0"
"2009","Alberta","48","Manslaughter","13","12","1","81.51","0.35","0.35","0.32","0","0.35","13","10","10","0","1"
"2010","Alberta","48","Manslaughter","7","7","0","-46.93","0.19","0.17","0.22","0.71","0","7","5","7","2","0"
"2011","Alberta","48","Manslaughter","11","9","3","54.75","0.29","0.31","0.37","1.07","0","12","9","12","3","0"
"2012","Alberta","48","Manslaughter","13","11","0","15.42","0.33","0.36","0.36","0.36","0","11","11","12","1","0"
"2013","Alberta","48","Manslaughter","3","2","0","-77.59","0.08","0.06","0.06","0","0","2","2","2","0","0"
"2014","Alberta","48","Manslaughter","11","10","0","256.7","0.27","0.31","0.29","0","0","10","10","10","0","0"
"2015","Alberta","48","Manslaughter","15","13","1","34.03","0.36","0.43","0.39","0","0","14","14","14","0","0"
"2016","Alberta","48","Manslaughter","23","19","0","50.69","0.54","0.57","0.55","0.35","0","19","19","20","1","0"
"1998","Alberta","48","Infanticide","1","0","0","0","0.03","0","0","0","0","0","0","0","0","0"
"1999","Alberta","48","Infanticide","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2000","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2001","Alberta","48","Infanticide","2","2","0","0","0.07","0.04","0.08","0.37","0","2","1","2","1","0"
"2002","Alberta","48","Infanticide","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2003","Alberta","48","Infanticide","1","0","0","0","0.03","0","0","0","0","0","0","0","0","0"
"2004","Alberta","48","Infanticide","1","1","0","-1.73","0.03","0.04","0.04","0","0","1","1","1","0","0"
"2005","Alberta","48","Infanticide","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2006","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2007","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","Alberta","48","Infanticide","1","0","0","0","0.03","0","0","0","0","0","0","0","0","0"
"2011","Alberta","48","Infanticide","0","0","0","-100","0","0","0","0","0","0","0","0","0","0"
"2012","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Alberta","48","Infanticide","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1998","Alberta","48","Total other violations causing death","9","5","0","0","0.31","0.14","0.17","0.38","0","5","3","4","1","0"
"1999","Alberta","48","Total other violations causing death","16","10","0","74.54","0.54","0.18","0.2","0.38","0","10","4","5","1","0"
"2000","Alberta","48","Total other violations causing death","5","2","0","-69.29","0.17","0.09","0.08","0","0","2","2","2","0","0"
"2001","Alberta","48","Total other violations causing death","14","9","0","175.14","0.46","0.39","0.35","0","0","9","9","9","0","0"
"2002","Alberta","48","Total other violations causing death","13","4","0","-9.23","0.42","0.21","0.19","0","0","4","5","5","0","0"
"2003","Alberta","48","Total other violations causing death","10","5","2","-24.41","0.31","0.21","0.19","0","0","7","5","5","0","0"
"2004","Alberta","48","Total other violations causing death","9","2","0","-11.56","0.28","0.08","0.07","0","0","2","2","2","0","0"
"2005","Alberta","48","Total other violations causing death","5","5","0","-45.83","0.15","0.24","0.21","0","0","5","6","6","0","0"
"2006","Alberta","48","Total other violations causing death","14","12","0","171.88","0.41","0.34","0.31","0","0","12","9","9","0","0"
"2007","Alberta","48","Total other violations causing death","11","11","0","-23.5","0.31","0.44","0.4","0","0","11","12","12","0","0"
"2008","Alberta","48","Total other violations causing death","10","8","0","-11.16","0.28","0.22","0.26","0.7","0","8","6","8","2","0"
"2009","Alberta","48","Total other violations causing death","11","7","1","7.51","0.3","0.14","0.16","0.35","0.35","8","4","5","1","1"
"2010","Alberta","48","Total other violations causing death","7","7","0","-37.28","0.19","0.24","0.22","0","0","7","7","7","0","0"
"2011","Alberta","48","Total other violations causing death","9","9","0","26.62","0.24","0.31","0.28","0","0","9","9","9","0","0"
"2012","Alberta","48","Total other violations causing death","12","13","3","30.22","0.31","0.3","0.27","0","0","16","9","9","0","0"
"2013","Alberta","48","Total other violations causing death","17","12","0","37.56","0.43","0.35","0.32","0","0","12","11","11","0","0"
"2014","Alberta","48","Total other violations causing death","11","13","0","-37.05","0.27","0.34","0.31","0","0","13","11","11","0","0"
"2015","Alberta","48","Total other violations causing death","5","6","1","-55.32","0.12","0.18","0.17","0","0","7","6","6","0","0"
"2016","Alberta","48","Total other violations causing death","8","7","0","57.25","0.19","0.15","0.14","0","0","7","5","5","0","0"
"1998","Alberta","48","Criminal negligence causing death","9","5","0","0","0.31","0.14","0.17","0.38","0","5","3","4","1","0"
"1999","Alberta","48","Criminal negligence causing death","16","10","0","74.54","0.54","0.18","0.2","0.38","0","10","4","5","1","0"
"2000","Alberta","48","Criminal negligence causing death","5","2","0","-69.29","0.17","0.09","0.08","0","0","2","2","2","0","0"
"2001","Alberta","48","Criminal negligence causing death","14","9","0","175.14","0.46","0.39","0.35","0","0","9","9","9","0","0"
"2002","Alberta","48","Criminal negligence causing death","13","4","0","-9.23","0.42","0.21","0.19","0","0","4","5","5","0","0"
"2003","Alberta","48","Criminal negligence causing death","10","5","2","-24.41","0.31","0.21","0.19","0","0","7","5","5","0","0"
"2004","Alberta","48","Criminal negligence causing death","9","2","0","-11.56","0.28","0.08","0.07","0","0","2","2","2","0","0"
"2005","Alberta","48","Criminal negligence causing death","5","5","0","-45.83","0.15","0.24","0.21","0","0","5","6","6","0","0"
"2006","Alberta","48","Criminal negligence causing death","14","12","0","171.88","0.41","0.34","0.31","0","0","12","9","9","0","0"
"2007","Alberta","48","Criminal negligence causing death","11","11","0","-23.5","0.31","0.44","0.4","0","0","11","12","12","0","0"
"2008","Alberta","48","Criminal negligence causing death","8","6","0","-28.93","0.22","0.18","0.16","0","0","6","5","5","0","0"
"2009","Alberta","48","Criminal negligence causing death","10","7","1","22.17","0.27","0.14","0.16","0.35","0","8","4","5","1","0"
"2010","Alberta","48","Criminal negligence causing death","7","7","0","-31","0.19","0.24","0.22","0","0","7","7","7","0","0"
"2011","Alberta","48","Criminal negligence causing death","9","9","0","26.62","0.24","0.31","0.28","0","0","9","9","9","0","0"
"2012","Alberta","48","Criminal negligence causing death","11","12","3","19.37","0.28","0.26","0.24","0","0","15","8","8","0","0"
"2013","Alberta","48","Criminal negligence causing death","16","11","0","41.24","0.4","0.32","0.29","0","0","11","10","10","0","0"
